Rank,Player,Position,Team,Extra,ADP,Final
193,Mason Taylor,TE,NEW YORK JETS,,2324,
194,Nicholas Singleton,RB,N/A,,2325,
195,Cade Otton,TE,TAMPA BAY BUCCANEERS,,2352,
196,Pat Bryant,WR,DENVER BRONCOS,,2355,
197,Tua Tagovailoa,QB,ATLANTA FALCONS,,2369,
198,Gunnar Helm,TE,TENNESSEE TITANS,,2407,
199,Trey Benson,RB,ARIZONA CARDINALS,,2409,
200,Troy Franklin,WR,DENVER BRONCOS,,2412,
201,Kimani Vidal,RB,LOS ANGELES CHARGERS,,2416,
202,Braelon Allen,RB,NEW YORK JETS,,2416,
203,Elijah Sarratt,WR,N/A,,2439,
204,Ryan Flournoy,WR,DALLAS COWBOYS,,2454,
205,Kaytron Allen,RB,N/A,,2464,
206,Terrance Ferguson,TE,LOS ANGELES RAMS,,2476,
207,Chris Brazzell II,WR,N/A,,2490,
208,Aaron Rodgers,QB,PITTSBURGH STEELERS,,2503,
209,Ray Davis,RB,BUFFALO BILLS,,2505,
210,Pat Freiermuth,TE,PITTSBURGH STEELERS,,2512,
211,Hollywood Brown,WR,PHILADELPHIA EAGLES,,2520,
212,Tory Horton,WR,SEATTLE SEAHAWKS,,2546,
213,Najee Harris,RB,N/A,,2552,
214,Zachariah Branch,WR,N/A,,2565,
215,Michael Penix,QB,ATLANTA FALCONS,,2571,
216,Germie Bernard,WR,N/A,,2584,
217,Jake Tonges,TE,SAN FRANCISCO 49ERS,,2607,
218,Elic Ayomanor,WR,TENNESSEE TITANS,,2655,
219,George Holani,RB,SEATTLE SEAHAWKS,,2657,
220,Ollie Gordon,RB,MIAMI DOLPHINS,,2659,
221,Devaughn Vele,WR,NEW ORLEANS SAINTS,,2671,
222,Kyle Williams,WR,NEW ENGLAND PATRIOTS,,2685,
223,Jordan James,RB,SAN FRANCISCO 49ERS,,2693,
224,Ty Simpson,QB,N/A,,2695,
225,Colby Parkinson,TE,LOS ANGELES RAMS,,2702,
226,Shedeur Sanders,QB,CLEVELAND BROWNS,,2702,
227,Jaydon Blue,RB,DALLAS COWBOYS,,2742,
228,Tez Johnson,WR,TAMPA BAY BUCCANEERS,,2751,
229,Ja'Kobi Lane,WR,N/A,,2753,
230,Cooper Kupp,WR,SEATTLE SEAHAWKS,,2755,
231,Demond Claiborne,RB,N/A,,2760,
232,Justice Hill,RB,BALTIMORE RAVENS,,2763,
233,Jaylin Noel,WR,HOUSTON TEXANS,,2764,
234,Mike Gesicki,TE,CINCINNATI BENGALS,,2772,
235,Theo Johnson,TE,NEW YORK GIANTS,,2778,
236,Rashod Bateman,WR,BALTIMORE RAVENS,,2784,
237,Chris Bell,WR,N/A,,2784,
238,Dontayvion Wicks,WR,GREEN BAY PACKERS,,2785,
239,Jalen Tolbert,WR,MIAMI DOLPHINS,,2791,
240,Greg Dulcich,TE,MIAMI DOLPHINS,,2797,
241,Justin Fields,QB,KANSAS CITY CHIEFS,,2797,
242,Emari Demercado,RB,KANSAS CITY CHIEFS,,2800,
243,Ted Hurst,WR,N/A,,2804,
244,Keon Coleman,WR,BUFFALO BILLS,,2813,
245,Adam Randall,RB,N/A,,2824,
246,Tyquan Thornton,WR,KANSAS CITY CHIEFS,,2825,
247,Antonio Williams,WR,N/A,,2826,
248,Evan Engram,TE,DENVER BRONCOS,,2826,
249,Keenan Allen,WR,N/A,,2826,
250,Deshaun Watson,QB,CLEVELAND BROWNS,,2838,
251,LeQuint Allen,RB,JACKSONVILLE JAGUARS,,2839,
252,DJ Giddens,RB,INDIANAPOLIS COLTS,,2841,
253,Jahan Dotson,WR,PHILADELPHIA EAGLES,,2841,
254,Jaylen Wright,RB,MIAMI DOLPHINS,,2841,
255,Joe Mixon,RB,N/A,,2844,
256,Tutu Atwell,WR,MIAMI DOLPHINS,,2845,
257,Seth McGowan,RB,N/A,,2848,
258,Mack Hollins,WR,NEW ENGLAND PATRIOTS,,2848,
259,Darius Slayton,WR,NEW YORK GIANTS,,2849,
260,Jack Bech,WR,LAS VEGAS RAIDERS,,2851,
261,Dawson Knox,TE,BUFFALO BILLS,,2851,
262,Andrei Iosivas,WR,CINCINNATI BENGALS,,2852,
263,Mac Jones,QB,SAN FRANCISCO 49ERS,,2852,
264,Darnell Washington,TE,PITTSBURGH STEELERS,,2852,
265,Ty Johnson,RB,BUFFALO BILLS,,2852,
266,Skyler Bell,WR,N/A,,2857,
267,Isaiah Bond,WR,CLEVELAND BROWNS,,2857,
268,Chris Brooks,RB,GREEN BAY PACKERS,,2858,
269,Kendrick Bourne,WR,ARIZONA CARDINALS,,2858,
270,Malachi Fields,WR,N/A,,2858,
271,Kirk Cousins,QB,N/A,,2859,
272,Olamide Zaccheaus,WR,ATLANTA FALCONS,,2859,
273,Elijah Arroyo,TE,SEATTLE SEAHAWKS,,2859,
274,J.J. McCarthy,QB,MINNESOTA VIKINGS,,2859,
275,Bryce Lance,WR,N/A,,2860,
276,Max Klare,TE,N/A,,2860,
277,Jerome Ford,RB,WASHINGTON COMMANDERS,,2860,
278,MarShawn Lloyd,RB,GREEN BAY PACKERS,,2860,
279,Marvin Mims Jr.,WR,DENVER BRONCOS,,2861,
280,Kaleb Johnson,RB,PITTSBURGH STEELERS,,2861,
281,Brashard Smith,RB,KANSAS CITY CHIEFS,,2861,
282,Devin Neal,RB,NEW ORLEANS SAINTS,,2861,
283,Devontez Walker,WR,BALTIMORE RAVENS,,2861,
284,Michael Mayer,TE,LAS VEGAS RAIDERS,,2861,
285,Xavier Legette,WR,CAROLINA PANTHERS,,2861,
286,Ja'Tavion Sanders,TE,CAROLINA PANTHERS,,2861,
287,Isaac Guerendo,RB,SAN FRANCISCO 49ERS,,2862,
288,Jaylin Lane,WR,WASHINGTON COMMANDERS,,2862,
289,Treylon Burks,WR,WASHINGTON COMMANDERS,,2862,
290,Sam Roush,TE,N/A,,2862,
291,Malik Davis,RB,DALLAS COWBOYS,,2863,
292,Jaydn Ott,RB,N/A,,2863,
293,Anthony Richardson,QB,INDIANAPOLIS COLTS,,2863,
294,Greg Dortch,WR,DETROIT LIONS,,2863,
295,Oscar Delp,TE,N/A,,2863,
296,Cole Kmet,TE,CHICAGO BEARS,,2863,
297,Joe Flacco,QB,CINCINNATI BENGALS,,2863,
298,Charlie Kolar,TE,LOS ANGELES CHARGERS,,2863,
299,Calvin Austin III,WR,NEW YORK GIANTS,,2863,
300,Tahj Brooks,RB,CINCINNATI BENGALS,,2863,
301,Luke McCaffrey,WR,WASHINGTON COMMANDERS,,2863,
302,KaVontae Turpin,WR,DALLAS COWBOYS,,2863,
303,Tyler Higbee,TE,LOS ANGELES RAMS,,2863,
304,John Metchie III,WR,CAROLINA PANTHERS,,2864,
305,Isaiah Davis,RB,NEW YORK JETS,,2864,
306,Trevor Etienne,RB,CAROLINA PANTHERS,,2864,
307,J'Mari Taylor,RB,N/A,,2864,
308,Nick Westbrook-Ikhine,WR,INDIANAPOLIS COLTS,,2864,
309,Kareem Hunt,RB,N/A,,2864,
310,Tai Felton,WR,MINNESOTA VIKINGS,,2864,
311,KeAndre Lambert-Smith,WR,LOS ANGELES CHARGERS,,2864,
312,Kyle Juszczyk,RB,SAN FRANCISCO 49ERS,,2864,
313,Deion Burks,WR,N/A,,2864,
314,Eric McAlister,WR,N/A,,2865,
315,DeMario Douglas,WR,NEW ENGLAND PATRIOTS,,2865,
316,Kalif Raymond,WR,CHICAGO BEARS,,2865,
317,Teddy Bridgewater,QB,DETROIT LIONS,,2865,
318,Justin Joly,TE,N/A,,2865,
319,Samaje Perine,RB,CINCINNATI BENGALS,,2865,
320,Will Howard,QB,PITTSBURGH STEELERS,,2865,
321,Michael Jacobson,TE,N/A,,2865,
322,Cedric Tillman,WR,CLEVELAND BROWNS,,2865,
323,Savion Williams,WR,GREEN BAY PACKERS,,2865,
324,De'Zhaun Stribling,WR,N/A,,2865,
325,Theo Wease,WR,MIAMI DOLPHINS,,2865,
326,Konata Mumpfield,WR,LOS ANGELES RAMS,,2865,
327,Will Shipley,RB,PHILADELPHIA EAGLES,,2865,
328,Tommy Tremble,TE,CAROLINA PANTHERS,,2865,
329,Kenny McIntosh,RB,SEATTLE SEAHAWKS,,2865,
330,Michael Trigg,TE,N/A,,2865,
331,Kaelon Black,RB,N/A,,2865,
332,Drew Allar,QB,N/A,,2865,
333,Noah Gray,TE,KANSAS CITY CHIEFS,,2865,
334,Marcus Mariota,QB,WASHINGTON COMMANDERS,,2865,
335,Gardner Minshew II,QB,ARIZONA CARDINALS,,2865,
336,Michael Carter,RB,N/A,,2865,
337,Elijah Moore,WR,PHILADELPHIA EAGLES,,2865,
338,Darius Cooper,WR,PHILADELPHIA EAGLES,,2865,
339,Rasheen Ali,RB,BALTIMORE RAVENS,,2865,
340,Isaiah Williams,WR,NEW YORK JETS,,2865,
341,Mitchell Evans,TE,CAROLINA PANTHERS,,2865,
342,Nick Chubb,RB,HOUSTON TEXANS,,2865,
343,Ja'Lynn Polk,WR,NEW ORLEANS SAINTS,,2865,
344,Noah Fant,TE,NEW ORLEANS SAINTS,,2865,
345,Jalen Royals,WR,KANSAS CITY CHIEFS,,2865,
346,Spencer Rattler,QB,NEW ORLEANS SAINTS,,2865,
347,Jarquez Hunter,RB,LOS ANGELES RAMS,,2865,
348,Garrett Nussmeier,QB,N/A,,2865,
349,Tyrell Shavers,WR,BUFFALO BILLS,,2868,
350,Jalen Milroe,QB,SEATTLE SEAHAWKS,,2868,
351,Erick All,TE,CINCINNATI BENGALS,,2868,
352,Taylen Green,QB,N/A,,2868,
353,Xavier Hutchinson,WR,HOUSTON TEXANS,,2868,
354,Dont'e Thornton,WR,LAS VEGAS RAIDERS,,2868,
355,Ashton Dulin,WR,INDIANAPOLIS COLTS,,2868,
356,Odell Beckham Jr.,WR,N/A,,2868,
357,Miles Sanders,RB,N/A,,2868,
358,Rahsul Faison,RB,N/A,,2868,
359,Jonnu Smith,TE,N/A,,2868,
360,Elijah Higgins,TE,ARIZONA CARDINALS,,2868,
361,Luke Musgrave,TE,GREEN BAY PACKERS,,2868,
362,Joshua Palmer,WR,BUFFALO BILLS,,2868,
363,Austin Hooper,TE,ATLANTA FALCONS,,2868,
364,Ben Sinnott,TE,WASHINGTON COMMANDERS,,2868,
365,Nathan Carter,RB,ATLANTA FALCONS,,2868,
366,Lewis Bond,WR,N/A,,2868,
367,Carson Beck,QB,N/A,,2868,
368,Marlin Klein,TE,N/A,,2868,
369,Brenen Thompson,WR,N/A,,2868,
370,Le'Veon Moss,RB,N/A,,2868,
371,Mathew Sexton,WR,N/A,,2868,
372,Zach Ertz,TE,N/A,,2868,
373,Roman Hemby,RB,N/A,,2868,
374,Jordan Whittington,WR,LOS ANGELES RAMS,,2868,
375,Tyler Huntley,QB,BALTIMORE RAVENS,,2868,
376,Carson Wentz,QB,MINNESOTA VIKINGS,,2868,
377,Joe Milton,QB,DALLAS COWBOYS,,2868,
378,Mo Alie-Cox,TE,INDIANAPOLIS COLTS,,2868,
379,Jordan Watkins,WR,SAN FRANCISCO 49ERS,,2868,
380,Eli Raridon,TE,N/A,,2868,
381,Tanner Koziol,TE,N/A,,2868,
382,Jam Miller,RB,N/A,,2868,
383,Sam Howell,QB,DALLAS COWBOYS,,2868,
384,Daniel Bellinger,TE,TENNESSEE TITANS,,2868,
385,Van Jefferson,WR,WASHINGTON COMMANDERS,,2868,
386,Grant Calcaterra,TE,PHILADELPHIA EAGLES,,2868,
387,Jameis Winston,QB,NEW YORK GIANTS,,2868,
388,Tanner McKee,QB,PHILADELPHIA EAGLES,,2868,
389,Kyle Allen,QB,BUFFALO BILLS,,2868,
390,Dyami Brown,WR,WASHINGTON COMMANDERS,,2868,
391,Damien Martinez,RB,GREEN BAY PACKERS,,2868,
392,Tyler Conklin,TE,DETROIT LIONS,,2868,
393,Terion Stewart,RB,N/A,,2868,
394,Mason Tipton,WR,NEW ORLEANS SAINTS,,2868,
