Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
272,"Cooper Kupp",WR,SEA,2073,111,32.8,34412,38013,49667
273,"Calvin Ridley",WR,TEN,2070,112,31.2,35827,38286,37912
274,"Dawson Knox",TE,BUF,2064,43,29.3,21414,22236,21753
275,"Devaughn Vele",WR,NOS,2060,113,28.3,6719,6174,5549
276,"Skyler Bell",WR,FA,2055,114,-1,211,350,135
277,"Calvin Austin III",WR,NYG,2027,115,27,13808,13764,13527
278,"Noah Gray",TE,KCC,2025,44,26.9,15350,15190,14648
279,"Will Shipley",RB,PHI,2023,83,23.6,10682,10695,9464
280,"Keenan Allen",WR,LAC,2019,116,33.9,30791,32077,39895
281,"Jahan Dotson",WR,ATL,2017,117,26,25835,26212,23297
282,"Andrei Iosivas",WR,CIN,2017,118,26.4,11154,10891,10698
283,"Savion Williams",WR,GBP,2015,119,24.3,3597,3306,2776
284,"KeAndre Lambert-Smith",WR,LAC,2011,120,24.4,3317,2739,2180
285,"Jimmy Horn",WR,CAR,1985,121,23.5,3172,2645,2196
286,"Jordan Whittington",WR,LAR,1981,122,25.5,8512,8100,7640
287,"Darius Slayton",WR,NYG,1956,123,29.2,17789,17905,18191
288,"Jerome Ford",RB,WAS,1934,84,26.5,18747,18695,19333
289,"Isaac Guerendo",RB,SFO,1932,85,25.7,12833,12562,11430
290,"Bam Knight",RB,ARI,1915,86,24.9,8036,7656,7699
291,"Max Klare",TE,FA,1911,45,-1,175,437,111
292,"Joshua Palmer",WR,BUF,1900,124,26.5,25050,24843,23121
293,"Jaleel McLaughlin",RB,DEN,1886,87,25.5,12399,11908,13013
294,"Antonio Williams",WR,FA,1866,125,-1,191,433,175
295,"Treylon Burks",WR,WAS,1865,126,26,26633,26594,21978
296,"Daniel Bellinger",TE,TEN,1855,46,25.5,15846,15475,15133
297,"Kendrick Bourne",WR,ARI,1852,127,30.6,16454,16435,16190
298,"Ja'Lynn Polk",WR,NOS,1850,128,23.9,13322,13694,10785
299,"Jalen Tolbert",WR,MIA,1841,129,27,16339,16746,16466
300,"Jonnu Smith",TE,FA,1822,47,30.6,20456,20936,22868
301,"Devin Singletary",RB,NYG,1816,88,28.5,24585,24770,27156
302,"Tutu Atwell",WR,MIA,1810,130,26.4,15365,15171,16443
303,"Noah Fant",TE,NOS,1802,48,28.3,23549,24910,24677
304,"Xavier Restrepo",WR,TEN,1797,131,23.9,4492,4907,3653
305,"Tommy Tremble",TE,CAR,1792,49,25.8,12892,12827,13381
306,"Raheim Sanders",RB,CLE,1788,89,23.8,3192,2817,2663
307,"Efton Chism",WR,NEP,1786,132,24.4,3620,3383,1924
308,"Michael Trigg",TE,FA,1783,50,-1,153,400,139
309,"Dyami Brown",WR,WAS,1759,133,26.4,16884,16945,17016
310,"Konata Mumpfield",WR,LAR,1748,134,23.4,2235,1726,1255
311,"Greg Dulcich",TE,MIA,1745,51,26,17862,17989,16869
312,"Olamide Zaccheaus",WR,ATL,1724,135,28.6,11662,11241,13334
313,"Kevin Coleman",WR,FA,1723,136,-1,196,337,140
314,"Devontez Walker",WR,BAL,1705,137,24.7,9779,9798,8751
315,"Garrett Nussmeier",QB,FA,1701,38,-1,66,62,42
316,"Roschon Johnson",RB,CHI,1695,90,25.1,16686,16866,15694
317,"Mike Gesicki",TE,CIN,1692,52,30.4,21729,22665,24794
318,"Joe Mixon",RB,FA,1682,91,29.6,38946,40462,44561
319,"Cade Stover",TE,HOU,1670,53,25.8,8752,8733,7559
320,"Malik Davis",RB,DAL,1657,92,27.3,5723,5083,5552
321,"Demond Claiborne",RB,FA,1655,93,-1,153,376,113
322,"Michael Carter",RB,ARI,1646,94,26.9,21964,22127,23053
323,"Jalin Hyatt",WR,NYG,1639,138,24.5,12953,13345,12373
324,"Jacoby Brissett",QB,ARI,1607,39,33.3,3913,3599,3025
325,"Ty Johnson",RB,BUF,1597,95,28.5,12647,12617,11815
326,"Dillon Gabriel",QB,CLE,1593,40,25.2,1150,1497,1109
327,"Justice Hill",RB,BAL,1590,96,28.3,14564,14490,16001
328,"Emari Demercado",RB,KCC,1583,97,27.2,8591,8161,9189
329,"Trey Palmer",WR,NOS,1560,139,25,12097,11597,11757
330,"Tai Felton",WR,MIN,1529,140,23,3364,3209,2768
331,"Phil Mafah",RB,DAL,1527,98,23.4,3516,3289,2228
332,"Quinn Ewers",QB,MIA,1524,41,22.8,1148,1507,984
333,"Ted Hurst",WR,FA,1522,141,-1,134,418,92
334,"Greg Dortch",WR,ARI,1499,142,27.8,15155,15253,13964
335,"Tyrell Shavers",WR,BUF,1491,143,26.6,1696,1246,1343
336,"KaVontae Turpin",WR,DAL,1488,144,29.6,8448,8052,8776
337,"Tyler Higbee",TE,LAR,1485,54,33.2,19957,20652,21301
338,"Kalel Mullings",RB,TEN,1480,99,23.4,2633,2218,2156
339,"Joe Milton",QB,DAL,1479,42,26,2355,2045,1835
340,"Erick All",TE,CIN,1476,55,25.5,10059,10233,7486
341,"Le'Veon Moss",RB,FA,1469,100,-1,151,255,135
342,"Rasheen Ali",RB,BAL,1468,101,25.1,7591,7363,6246
343,"Tahj Washington",WR,MIA,1468,145,24.8,7061,6811,5727
344,"Mack Hollins",WR,NEP,1461,146,32.5,9443,9024,10109
345,"Aaron Rodgers",QB,PIT,1449,43,42.3,12621,13585,14213
346,"Kameron Johnson",WR,TBB,1448,147,24,1458,1002,889
347,"Kareem Hunt",RB,KCC,1447,102,30.6,23916,24111,27727
348,"Seth McGowan",RB,FA,1447,103,-1,101,296,101
349,"Will Howard",QB,PIT,1446,44,24.5,1138,1163,838
350,"Elijah Moore",WR,DEN,1438,148,26,31213,30397,27284
351,"Darren Waller",TE,MIA,1412,56,33.5,21569,22969,26038
352,"Malachi Corley",WR,CLE,1410,149,24,10820,10954,9317
353,"Jack Endries",TE,FA,1410,57,-1,87,398,84
354,"Tyler Goodson",RB,IND,1407,104,25.4,5585,5248,5882
