Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
158,"Bryce Young",QB,CAR,4025,26,24.8,230,229,194
159,"Dylan Sampson",RB,CLE,4019,45,21.6,72,78,83
160,"Jalen McMillan",WR,TBB,4017,70,24.4,197,139,155
161,"Tyjae Spears",RB,TEN,3992,46,24.9,314,267,304
162,"Aaron Jones",RB,MIN,3938,47,31.4,429,620,529
163,"Isiah Pacheco",RB,DET,3938,48,27.2,436,404,392
164,"Chris Bell",WR,MIA,3911,71,-1,5,6,4
165,"Elijah Sarratt",WR,BAL,3909,72,-1,2,5,2
166,"Cade Otton",TE,TBB,3879,21,27,228,177,204
167,"Chris Brazzell II",WR,CAR,3834,73,-1,4,3,1
168,"Oronde Gadsden",TE,LAC,3833,22,22.8,50,,8
169,"David Njoku",TE,FA,3822,23,29.8,437,314,412
170,"Calvin Ridley",WR,TEN,3820,74,31.4,70,297,121
171,"Justin Fields",QB,KCC,3813,27,27.2,448,406,397
172,"Tank Bigsby",RB,PHI,3736,49,24.7,265,256,256
173,"Brian Robinson",RB,ATL,3700,50,27.1,449,380,386
174,"Tyreek Hill",WR,FA,3685,75,32.2,626,711,738
175,"Braelon Allen",RB,NYJ,3684,51,22.3,173,187,189
176,"Ollie Gordon",RB,MIA,3682,52,22.3,58,71,69
177,"Mike Washington Jr.",RB,LVR,3676,53,-1,6,2,4
178,"Tre Harris",WR,LAC,3655,76,24.2,81,67,58
179,"Jaylin Noel",WR,HOU,3653,77,23.6,57,47,48
180,"Ja'Kobi Lane",WR,BAL,3559,78,-1,5,1,2
181,"Emmett Johnson",RB,KCC,3548,54,-1,5,5,7
182,"Marvin Mims",WR,DEN,3534,79,24.1,286,252,230
183,"Ty Simpson",QB,LAR,3532,28,23.4,5,3,3
184,"Adonai Mitchell",WR,NYJ,3510,80,23.6,181,183,161
185,"Dalton Schultz",TE,HOU,3508,24,29.8,405,252,319
186,"Darnell Mooney",WR,NYG,3428,81,28.5,431,318,468
187,"Elijah Arroyo",TE,SEA,3391,25,23.1,67,53,63
188,"Chigoziem Okonkwo",TE,WAS,3378,26,26.6,214,160,184
189,"Evan Engram",TE,DEN,3358,27,31.7,413,450,426
190,"Kaleb Johnson",RB,PIT,3344,55,22.7,100,138,63
191,"Pat Freiermuth",TE,PIT,3315,28,27.5,432,292,415
192,"Tua Tagovailoa",QB,ATL,3309,29,28.2,432,388,400
193,"James Conner",RB,ARI,3275,56,31,542,476,456
194,"Ray Davis",RB,BUF,3263,57,26.5,120,71,92
195,"Cooper Kupp",WR,SEA,3238,82,32.9,663,549,569
196,"Christian Kirk",WR,SFO,3188,83,29.4,438,294,331
197,"Kaytron Allen",RB,WAS,3186,58,-1,2,8,2
198,"Chris Rodriguez",RB,JAC,3129,59,25.6,28,43,44
199,"Marquise Brown",WR,PHI,3125,86,28.9,481,343,388
200,"Cedric Tillman",WR,CLE,3050,87,26,257,256,228
201,"Xavier Legette",WR,CAR,3050,88,25.2,203,167,178
202,"Sean Tucker",RB,TBB,3048,60,24.5,188,227,216
203,"Ja'Tavion Sanders",TE,CAR,3040,29,23.1,140,142,126
204,"Rashod Bateman",WR,BAL,3030,89,26.4,414,311,418
205,"Michael Mayer",TE,LVR,3001,30,24.8,189,248,205
206,"Jerome Ford",RB,WAS,2995,61,26.6,254,233,252
207,"Cole Kmet",TE,CHI,2949,31,27.1,374,297,381
208,"Luke Musgrave",TE,GBP,2912,32,25.7,311,296,309
209,"Kendre Miller",RB,NOS,2910,62,23.9,229,215,201
210,"Eli Stowers",TE,PHI,2891,33,-1,2,3,3
211,"Jaylen Wright",RB,MIA,2873,63,23.1,167,129,127
212,"Aaron Rodgers",QB,PIT,2860,30,42.4,299,371,322
213,"Jonnu Smith",TE,FA,2842,34,30.7,286,272,289
214,"Kareem Hunt",RB,KCC,2825,64,30.7,327,407,342
215,"Zach Ertz",TE,WAS,2802,35,35.5,301,264,318
216,"Nick Chubb",RB,HOU,2788,65,30.3,396,586,465
217,"Darius Slayton",WR,NYG,2766,90,29.3,272,242,300
218,"Joe Mixon",RB,FA,2752,66,29.8,503,557,584
219,"Joshua Palmer",WR,BUF,2751,91,26.6,412,356,450
220,"Calvin Austin III",WR,NYG,2739,92,27.1,152,135,148
221,"Terrance Ferguson",TE,LAR,2714,36,23.2,42,42,29
222,"Trevor Etienne",RB,CAR,2700,67,21.8,66,59,53
223,"Germie Bernard",WR,PIT,2697,93,-1,,6,4
224,"Jonathon Brooks",RB,CAR,2683,68,22.8,218,217,160
225,"Tank Dell",WR,HOU,2657,94,26.5,143,149,153
226,"Shedeur Sanders",QB,CLE,2626,31,24.2,51,39,35
227,"Max Klare",TE,LAR,2607,37,-1,1,4,1
228,"Demond Claiborne",RB,MIN,2598,69,-1,7,3,2
229,"Jalen Royals",WR,KCC,2592,95,23.2,46,47,40
230,"MarShawn Lloyd",RB,GBP,2549,70,25.3,159,127,132
231,"Will Shipley",RB,PHI,2547,71,23.7,113,127,111
232,"Jalen Tolbert",WR,MIA,2533,96,27.2,213,220,231
233,"Roschon Johnson",RB,CHI,2491,72,25.2,265,246,216
234,"Devin Neal",RB,NOS,2465,73,22.7,49,46,45
235,"Najee Harris",RB,LAC,2459,74,28.1,436,487,546
236,"Antonio Williams",WR,WAS,2448,97,-1,2,5,1
237,"Noah Gray",TE,KCC,2439,38,27,234,203,197
238,"Dawson Knox",TE,BUF,2385,39,29.5,456,347,405
239,"Ted Hurst",WR,TBB,2354,98,-1,3,4,2
240,"Skyler Bell",WR,BUF,2348,99,-1,,3,5
241,"Tyler Higbee",TE,LAR,2346,40,33.3,294,366,409
242,"Jahan Dotson",WR,ATL,2334,100,26.1,241,232,258
243,"Tez Johnson",WR,TBB,2325,101,24,34,18,31
244,"Michael Trigg",TE,DAL,2312,41,-1,2,6,
245,"Roman Wilson",WR,PIT,2311,102,24.9,139,132,111
246,"Jalen Milroe",QB,SEA,2307,32,23.4,47,41,26
247,"Tyquan Thornton",WR,KCC,2285,103,25.7,149,154,190
248,"Mike Gesicki",TE,CIN,2281,42,30.6,375,376,486
249,"Jack Endries",TE,CIN,2279,43,-1,,2,1
250,"Kendrick Bourne",WR,ARI,2227,104,30.7,246,202,271
251,"Noah Fant",TE,NOS,2143,44,28.4,299,393,411
252,"Kevin Coleman",WR,MIA,2138,105,-1,2,3,4
253,"Xavier Hutchinson",WR,HOU,2130,106,25.9,159,167,172
254,"Darren Waller",TE,MIA,2117,45,33.6,176,384,319
255,"Miles Sanders",RB,DAL,2109,76,29,350,415,450
256,"CJ Daniels",WR,LAR,2087,107,-1,2,1,1
257,"Luke McCaffrey",WR,WAS,2079,108,25.1,162,123,111
258,"Isaiah Bond",WR,CLE,2073,109,22.1,33,30,30
259,"Spencer Rattler",QB,NOS,1994,33,25.6,38,28,15
260,"DeAndre Hopkins",WR,BAL,1993,110,33.9,289,528,435
261,"Dameon Pierce",RB,PHI,1936,77,26.2,263,302,310
262,"Elijah Moore",WR,PHI,1932,111,26.1,385,309,359
263,"Jam Miller",RB,NEP,1901,78,-1,1,,
264,"Devin Singletary",RB,NYG,1890,79,28.6,341,247,319
265,"Deion Burks",WR,IND,1883,112,-1,,,1
266,"Austin Ekeler",RB,WAS,1872,80,31,413,529,491
267,"Barion Brown",WR,NOS,1862,113,-1,,1,
268,"Dyami Brown",WR,WAS,1855,114,26.5,162,195,243
269,"Curtis Samuel",WR,FA,1811,115,29.7,286,358,380
270,"Le'Veon Moss",RB,FA,1801,81,-1,,,
271,"Seth McGowan",RB,IND,1789,82,-1,,5,
272,"Adam Thielen",WR,FA,1780,116,35.7,286,413,458
273,"Tutu Atwell",WR,MIA,1754,119,26.6,230,199,256
274,"Tyler Lockett",WR,LVR,1744,120,33.6,323,464,464
275,"Garrett Nussmeier",QB,KCC,1727,34,-1,1,,
276,"Josh Reynolds",WR,NYJ,1717,121,31.2,232,217,239
277,"Jordan James",RB,SFO,1684,84,22.1,27,39,26
278,"John Metchie",WR,CAR,1682,122,25.8,257,233,234
279,"Jermaine Burton",WR,FA,1641,124,24.8,125,106,108
280,"Anthony Richardson",QB,IND,1638,35,23.9,332,309,239
281,"Hunter Renfrow",WR,FA,1593,126,30.4,284,213,252
282,"Brandin Cooks",WR,BUF,1354,129,32.6,343,312,393
283,"Zay Jones",WR,ARI,1311,131,31.1,669,509,691
284,"Taysom Hill",TE,NOS,1261,47,35.7,209,247,217
285,"Xavier Restrepo",WR,TEN,1260,133,24,27,38,34
286,"Luke Altmyer",QB,FA,1201,38,-1,,,
287,"Jacob Cowing",WR,SFO,1196,135,25.2,13,23,27
288,"Dillon Gabriel",QB,CLE,1166,39,25.3,14,15,21
289,"Carson Wentz",QB,MIN,1159,40,33.3,75,124,94
290,"Malik Willis",QB,MIA,1143,42,26.9,59,97,61
291,"Russell Wilson",QB,NYG,1127,46,37.4,261,382,293
292,"Elijah Mitchell",RB,FA,1125,100,28,340,226,271
293,"Will Howard",QB,PIT,1124,47,24.6,5,6,5
294,"Damien Martinez",RB,GBP,1107,112,22.2,21,22,16
295,"Ty Chandler",RB,NOS,1062,127,28,176,158,179
296,"Raheem Mostert",RB,LVR,1030,135,34.1,318,465,342
297,"Jaxson Dart",QB,NYG,1028,58,23,,,
298,"Tyler Shough",QB,NOS,1028,59,26.6,,,
299,"Kirk Cousins",QB,LVR,1022,60,37.7,339,282,340
300,"Jameis Winston",QB,NYG,985,62,32.3,96,166,128
