Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
250,"Kendre Miller",RB,NOS,1989,74,23.8,26023,26426,21136
251,"Chris Bell",WR,FA,1989,98,-1,661,1000,394
252,"Ray Davis",RB,BUF,1984,75,26.4,14554,14479,12675
253,"Isaiah Davis",RB,NYJ,1925,76,24.1,9578,9109,8674
254,"Darnell Washington",TE,PIT,1921,39,24.6,16610,16720,15549
255,"Quinn Ewers",QB,MIA,1914,42,22.9,5675,5985,4577
256,"Marquise Brown",WR,PHI,1907,99,28.8,50845,51676,51397
257,"Ryan Flournoy",WR,DAL,1902,100,26.4,5535,5077,4606
258,"Luke Musgrave",TE,GBP,1887,40,25.6,23626,23910,21363
259,"Ben Sinnott",TE,WAS,1882,41,23.8,15310,15206,11824
260,"Calvin Ridley",WR,TEN,1876,101,31.3,51422,53768,54024
261,"Malachi Fields",WR,FA,1876,102,-1,533,1180,372
262,"Aaron Rodgers",QB,PIT,1872,43,42.4,45880,46185,48261
263,"Tyquan Thornton",WR,KCC,1872,103,25.7,20883,20618,20107
264,"Jaylin Lane",WR,WAS,1872,104,23.9,4847,4260,3529
265,"Jalen Royals",WR,KCC,1867,105,23.1,6221,6312,4779
266,"Cooper Kupp",WR,SEA,1859,106,32.8,50231,57561,73645
267,"Kaytron Allen",RB,FA,1857,77,-1,592,860,326
268,"Najee Harris",RB,LAC,1849,78,28.1,53682,65833,64600
269,"Riley Leonard",QB,IND,1839,44,23.6,3858,3818,2648
270,"Joe Milton",QB,DAL,1814,45,26.1,12803,12446,11033
271,"Evan Engram",TE,DEN,1813,42,31.6,35913,36464,37036
272,"Kirk Cousins",QB,LVR,1811,46,37.6,52377,52559,47817
273,"Jahan Dotson",WR,ATL,1811,107,26,38709,39351,35323
274,"MarShawn Lloyd",RB,GBP,1805,79,25.2,14534,14765,12382
275,"Xavier Hutchinson",WR,HOU,1801,108,25.8,15077,15096,14115
276,"Luke McCaffrey",WR,WAS,1787,109,25,13669,13768,12135
277,"Spencer Rattler",QB,NOS,1781,47,25.5,14393,14403,12135
278,"Germie Bernard",WR,FA,1760,110,-1,558,760,321
279,"John Metchie",WR,CAR,1758,111,25.7,27304,27445,24479
280,"Ja'Kobi Lane",WR,FA,1746,112,-1,502,741,387
281,"Jarquez Hunter",RB,LAR,1745,80,23.3,5610,5393,4420
282,"Devaughn Vele",WR,NOS,1737,113,28.3,7724,7298,6450
283,"Dawson Knox",TE,BUF,1734,43,29.4,31085,31601,31313
284,"Isaac Guerendo",RB,SFO,1734,81,25.8,13392,13068,11917
285,"Keenan Allen",WR,LAC,1732,114,34,44077,45256,57601
286,"Tahj Brooks",RB,CIN,1731,82,23.9,4423,4224,3904
287,"Jalen Tolbert",WR,MIA,1721,115,27.1,21780,22352,22041
288,"Noah Gray",TE,KCC,1711,44,26.9,21243,21166,20008
289,"Roman Wilson",WR,PIT,1708,116,24.8,14783,14949,12851
290,"Andrei Iosivas",WR,CIN,1707,117,26.5,14153,13973,13113
291,"Will Shipley",RB,PHI,1688,83,23.6,11845,12105,10774
292,"Calvin Austin III",WR,NYG,1655,118,27,19068,19109,18338
293,"Jimmy Horn",WR,CAR,1652,119,23.6,3763,3241,2769
294,"Audric Estime",RB,NOS,1643,84,22.6,13008,13412,11682
295,"KeAndre Lambert-Smith",WR,LAC,1638,120,24.5,3731,3219,2492
296,"Tutu Atwell",WR,MIA,1633,121,26.5,20835,20888,22075
297,"Ja'Lynn Polk",WR,NOS,1619,122,24,14416,14830,11527
298,"Davis Mills",QB,HOU,1604,48,27.5,22411,22261,20066
299,"Greg Dulcich",TE,MIA,1604,45,26,25290,25226,23526
300,"Jerome Ford",RB,WAS,1600,85,26.6,25934,26292,26302
