Rank,Player,Position,Team,Value,PositionRank,Age,Kept,Traded,Cut
168,"Jaylin Noel",WR,HOU,3510,70,23.6,9,4,5
169,"Romeo Doubs",WR,NEP,3477,71,26,116,64,98
170,"Tyjae Spears",RB,TEN,3476,49,24.9,89,59,96
171,"Cooper Kupp",WR,SEA,3403,72,32.9,290,210,220
172,"Tyler Shough",QB,NOS,3403,30,26.6,20,6,12
173,"Christian Kirk",WR,SFO,3400,73,29.4,197,87,135
174,"Tyler Allgeier",RB,ARI,3365,50,26,108,74,118
175,"Blake Corum",RB,LAR,3347,51,25.4,52,38,41
176,"Darnell Mooney",WR,NYG,3322,74,28.5,193,119,211
177,"Alec Pierce",WR,IND,3309,75,26,98,67,100
178,"Marvin Mims",WR,DEN,3307,76,24.1,92,60,93
179,"Jerome Ford",RB,WAS,3299,52,26.6,80,65,71
180,"Rachaad White",RB,WAS,3294,53,27.3,102,81,119
181,"Quentin Johnston",WR,LAC,3281,77,24.6,85,77,72
182,"Elijah Arroyo",TE,SEA,3276,22,23.1,19,11,14
183,"Brian Robinson",RB,ATL,3269,54,27.1,121,101,122
184,"Chris Rodriguez",RB,JAC,3236,55,25.6,4,9,9
185,"Ty Simpson",QB,LAR,3220,31,23.4,2,1,1
186,"Joe Mixon",RB,FA,3219,56,29.8,178,229,235
187,"Rashod Bateman",WR,BAL,3194,78,26.4,211,112,167
188,"Jalen Milroe",QB,SEA,3175,32,23.4,27,16,17
189,"Elijah Sarratt",WR,BAL,3116,79,-1,2,4,1
190,"Austin Ekeler",RB,WAS,3096,57,31,196,267,230
191,"Jalen McMillan",WR,TBB,3090,80,24.4,62,28,30
192,"Hunter Henry",TE,NEP,3062,23,31.4,143,136,167
193,"Jonnu Smith",TE,FA,3054,24,30.7,111,116,135
194,"Adonai Mitchell",WR,NYJ,3050,81,23.6,53,34,40
195,"Aaron Rodgers",QB,PIT,3004,33,42.4,104,166,121
196,"Ray Davis",RB,BUF,3000,58,26.5,26,13,17
197,"Chris Bell",WR,MIA,2999,82,-1,2,2,3
198,"Chris Brazzell II",WR,CAR,2993,83,-1,2,1,1
199,"Joshua Palmer",WR,BUF,2975,84,26.6,183,119,154
200,"Roman Wilson",WR,PIT,2965,85,24.9,43,21,29
201,"Xavier Legette",WR,CAR,2957,86,25.2,67,54,61
202,"Chigoziem Okonkwo",TE,WAS,2952,25,26.6,44,24,51
203,"Mike Gesicki",TE,CIN,2903,26,30.6,164,164,238
204,"Kayshon Boutte",WR,NEP,2894,87,24,69,74,53
205,"Anthony Richardson",QB,IND,2858,34,23.9,164,99,112
206,"Cole Kmet",TE,CHI,2852,27,27.1,160,88,129
207,"Najee Harris",RB,LAC,2817,59,28.1,211,242,262
208,"Russell Wilson",QB,NYG,2791,35,37.4,132,153,93
209,"Terrance Ferguson",TE,LAR,2783,28,23.2,5,10,10
210,"Pat Freiermuth",TE,PIT,2774,29,27.5,210,79,141
211,"Zach Ertz",TE,WAS,2769,30,35.5,143,110,138
212,"Mike Washington Jr.",RB,LVR,2745,60,-1,3,,1
213,"Marquise Brown",WR,PHI,2739,88,28.9,241,117,202
214,"Dalton Schultz",TE,HOU,2739,31,29.8,176,60,133
215,"Emmett Johnson",RB,KCC,2735,61,-1,2,1,1
216,"Jaylen Wright",RB,MIA,2721,62,23.1,45,24,25
217,"Kaytron Allen",RB,WAS,2705,63,-1,1,,
218,"Adam Thielen",WR,FA,2694,89,35.7,111,196,241
219,"Will Shipley",RB,PHI,2691,64,23.7,27,29,34
220,"Jalen Royals",WR,KCC,2634,90,23.2,6,8,3
221,"Kendre Miller",RB,NOS,2626,65,23.9,73,64,57
222,"Sean Tucker",RB,TBB,2597,66,24.5,60,72,64
223,"Roschon Johnson",RB,CHI,2559,67,25.2,98,59,60
224,"Trevor Etienne",RB,CAR,2559,68,21.8,11,11,8
225,"Michael Mayer",TE,LVR,2540,32,24.8,51,69,72
226,"Calvin Austin III",WR,NYG,2532,91,27.1,36,31,26
227,"Tyler Higbee",TE,LAR,2529,33,33.3,137,174,189
228,"Ja'Tavion Sanders",TE,CAR,2517,34,23.1,44,39,41
229,"Dameon Pierce",RB,PHI,2512,69,26.2,98,94,103
230,"Kareem Hunt",RB,KCC,2498,70,30.7,139,190,184
231,"Darius Slayton",WR,NYG,2492,92,29.3,103,80,117
232,"Ja'Kobi Lane",WR,BAL,2452,93,-1,1,1,1
233,"Noah Fant",TE,NOS,2447,35,28.4,119,176,181
234,"Noah Gray",TE,KCC,2411,36,27,64,60,56
235,"Jordan James",RB,SFO,2402,71,22.1,13,5,7
236,"Kenneth Gainwell",RB,TBB,2397,72,27.1,223,116,168
237,"Spencer Rattler",QB,NOS,2397,36,25.6,9,9,3
238,"Darren Waller",TE,MIA,2378,37,33.6,84,238,162
239,"Luke Musgrave",TE,GBP,2375,38,25.7,113,70,70
240,"Devin Neal",RB,NOS,2368,73,22.7,16,14,14
241,"Luke McCaffrey",WR,WAS,2360,94,25.1,42,23,29
242,"Shedeur Sanders",QB,CLE,2360,37,24.2,18,6,13
243,"Dawson Knox",TE,BUF,2358,39,29.5,218,98,126
244,"Zay Jones",WR,ARI,2332,95,31.1,398,283,443
245,"Miles Sanders",RB,DAL,2306,74,29,160,200,214
246,"Tyler Lockett",WR,LVR,2301,96,33.6,112,222,227
247,"Germie Bernard",WR,PIT,2295,97,-1,,1,2
248,"Jonathon Brooks",RB,CAR,2276,75,22.8,56,50,42
249,"Kendrick Bourne",WR,ARI,2274,98,30.7,97,58,105
250,"Eli Stowers",TE,PHI,2246,40,-1,2,2,1
251,"Dillon Gabriel",QB,CLE,2233,38,25.3,8,5,17
252,"Antonio Williams",WR,WAS,2193,99,-1,1,,2
253,"Dyami Brown",WR,WAS,2190,100,26.5,43,83,91
254,"DeAndre Hopkins",WR,BAL,2178,101,33.9,89,289,184
255,"Curtis Samuel",WR,FA,2169,102,29.7,111,164,166
256,"Michael Trigg",TE,DAL,2164,41,-1,3,2,1
257,"Max Klare",TE,LAR,2124,42,-1,1,2,
258,"Tyquan Thornton",WR,KCC,2094,103,25.7,63,55,81
259,"Jalen Tolbert",WR,MIA,2072,104,27.2,56,76,58
260,"Skyler Bell",WR,BUF,2069,105,-1,,,4
261,"Kirk Cousins",QB,LVR,2020,39,37.7,135,99,119
262,"Demond Claiborne",RB,MIN,2018,76,-1,2,1,1
263,"Jack Endries",TE,CIN,2004,43,-1,,,
264,"Will Howard",QB,PIT,1991,40,24.6,15,5,7
265,"Isaiah Bond",WR,CLE,1986,106,22.1,18,10,6
266,"Jermaine Burton",WR,FA,1981,107,24.8,27,19,20
267,"Elijah Moore",WR,PHI,1969,108,26.1,202,128,181
268,"Devin Singletary",RB,NYG,1960,77,28.6,158,102,131
269,"Brandin Cooks",WR,BUF,1956,109,32.6,163,143,203
270,"Taysom Hill",TE,NOS,1942,44,35.7,86,161,105
271,"Josh Reynolds",WR,NYJ,1939,110,31.2,66,53,64
272,"Jameis Winston",QB,NYG,1936,41,32.3,81,98,95
273,"Xavier Restrepo",WR,TEN,1903,111,24,18,9,13
274,"Ted Hurst",WR,TBB,1895,112,-1,1,3,
275,"MarShawn Lloyd",RB,GBP,1813,78,25.3,45,25,35
276,"Jahan Dotson",WR,ATL,1797,113,26.1,87,90,81
277,"Kevin Coleman",WR,MIA,1795,114,-1,,,
278,"John Metchie",WR,CAR,1794,115,25.8,88,70,68
279,"Garrett Nussmeier",QB,KCC,1783,42,-1,,1,
280,"Raheem Mostert",RB,LVR,1761,79,34.1,106,221,136
281,"Xavier Hutchinson",WR,HOU,1760,116,25.9,55,52,53
282,"Tank Dell",WR,HOU,1753,117,26.5,24,59,37
283,"Tutu Atwell",WR,MIA,1745,118,26.6,52,53,80
284,"Tez Johnson",WR,TBB,1740,119,24,6,2,6
285,"Ty Chandler",RB,NOS,1720,80,28,53,44,55
286,"Seth McGowan",RB,IND,1695,81,-1,,,
287,"Elijah Mitchell",RB,FA,1650,82,28,185,80,104
288,"CJ Daniels",WR,LAR,1641,120,-1,,,
289,"Damien Martinez",RB,GBP,1639,83,22.2,4,7,3
290,"Juwan Johnson",TE,NOS,1626,45,29.6,24,2,8
291,"Barion Brown",WR,NOS,1610,121,-1,,,
292,"Oronde Gadsden",TE,LAC,1585,46,22.8,10,,3
293,"Deion Burks",WR,IND,1580,122,-1,,,
294,"Luke Altmyer",QB,FA,1549,43,-1,,,
295,"Jacob Cowing",WR,SFO,1544,123,25.2,5,7,10
296,"Hunter Renfrow",WR,FA,1524,124,30.4,177,88,156
297,"Malik Willis",QB,MIA,1524,44,26.9,47,48,48
298,"Jam Miller",RB,NEP,1523,84,-1,,,
299,"Le'Veon Moss",RB,FA,1502,85,-1,,,
300,"Carson Wentz",QB,MIN,1492,45,33.3,50,57,60
