Rank,Player,Position,Team,Value,PositionRank,Trend30Day,RedraftValue,Tier
51,A.J. Brown,WR,PHI,2890,14,-431,2890,24
52,Kyren Williams,RB,LAR,2883,16,-249,2883,24
53,TreVeyon Henderson,RB,NE,2877,17,-936,2877,24
54,C.J. Stroud,QB,HOU,2805,21,-846,2805,24
55,Cam Ward,QB,TEN,2776,22,-248,2776,24
56,Rashee Rice,WR,KC,2638,15,-793,2638,25
57,Kenneth Walker,RB,SEA,2490,18,583,2490,26
58,Tyler Warren,TE,IND,2463,3,-258,2463,26
59,Tee Higgins,WR,CIN,2402,16,-225,2402,26
60,Kyler Murray,QB,ARI,2383,23,118,2383,26
61,Travis Etienne,RB,JAX,2304,19,79,2304,27
62,Emeka Egbuka,WR,TB,2303,17,128,2303,27
63,Tyler Shough,QB,NO,2277,24,-110,2277,27
64,Ladd McConkey,WR,LAC,2209,18,120,2209,27
65,Colston Loveland,TE,CHI,2186,4,489,2186,27
66,Daniel Jones,QB,IND,2012,25,71,2012,28
67,Makai Lemon,WR,FA,1973,19,-22,1973,28
68,Davante Adams,WR,LAR,1972,20,-197,1972,28
69,Quinshon Judkins,RB,CLE,1969,20,38,1969,28
70,Carnell Tate,WR,FA,1934,21,-23,1934,28
71,DeVonta Smith,WR,PHI,1889,22,4,1889,28
72,Bryce Young,QB,CAR,1867,26,-108,1867,28
73,Cam Skattebo,RB,NYG,1864,21,-443,1864,28
